12,17296CT26874812,pruebadehoy,luisdehoy,RUT:123456789,0,1637,prueba,luis 888,RUT:090909090909,30404537|02066300001,30404537|02066300001,30404537|02066300001,30404537|02066300001,30404537|0,30404537|0,30404537|1,30404537|1,30404537|1,30404537|0,30404537|0,30404537|0,,,,,30404537|0,22072020
30404133,17296CT26874812,shelter,pedro 234,rut:1234423,0,1637,EL Pajaro,Miguel 9090,RUT: 030211650015,30404537|02066300001,30404537|20825629,30404537|99999999,30404537|44399,30404537|0,30404537|0,30404537|0,30404537|0,30404537|0,30404537|0,30404537|0,30404537|0,,,,,30404537|0,23072020
3040453123,17296CT26874812,mbc,juan perez,RUT:33445566,0,1637,EL Maragato,Juan 88831,RUT: 030211650015,30404537|02066300001,30404537|20825629,30404537|99999999,30404537|44399,30404537|0,30404537|0,30404537|0,30404537|0,30404537|0,30404537|0,30404537|0,30404537|0,,,,,30404537|0,23072020
30404537,17296CT26874812,mundo de la pizza,hola,RUT:000000000,0,1637,EL Perro,Juan 888,RUT: 030211650015,30404537|02066300001,30404537|20825629,30404537|99999999,30404537|44399,30404537|0,30404537|0,30404537|0,30404537|0,30404537|0,30404537|0,30404537|0,30404537|0,,,,,30404537|0,23072020
31,17296CT26874812,0,1637,EL Perro,EL Perro,EL Perro,EL Perro,Juan 888,RUT: 030211650015,30404537|02066300001,30404537|20825629,30404537|99999999,30404537|44399,30404537|0,30404537|0,30404537|0,30404537|0,30404537|0,30404537|0,30404537|0,30404537|0,,,,,30404537|0,08072020
32,17296CT26874812,EL Rochense,EL Rochense,EL Rochense,0,1637,EL Rochense,Pedro 8890,RUT:0302116500,30404537|02066300001,30404537|20825629,30404537|99999999,30404537|44399,30404537|0,30404537|0,30404537|0,30404537|0,30404537|0,30404537|0,30404537|0,30404537|0,,,,,30404537|0,18072020
33,17296CT26874812,EL Pajaro,Miguel 9090,3,0,01637,EL Pajaro,Miguel 9090,RUT: 030211650015,30404537|02066300001,30404537|20825629,30404537|99999999,30404537|44399,30404537|0,30404537|0,30404537|0,30404537|0,30404537|0,30404537|0,30404537|0,30404537|0,,,,,30404537|0,18072020
34,17296CT26874812,0,EL Maragato,EL Maragato,EL Maragato,1637,EL Maragato,Juan 88831,RUT: 030211650015,30404537|02066300001,30404537|20825629,30404537|99999999,30404537|44399,30404537|0,30404537|0,30404537|0,30404537|0,30404537|0,30404537|0,30404537|0,30404537|0,,,,,30404537|0,18072020
35,17296CT26874812,0,1637,EL Perro,EL Perro,EL Perro,EL Perro,Juan 888,RUT: 030211650015,30404537|02066300001,30404537|20825629,30404537|99999999,30404537|44399,30404537|0,30404537|0,30404537|0,30404537|0,30404537|0,30404537|0,30404537|0,30404537|0,,,,,30404537|0,08072020
36,17296CT26874812,EL Rochense,EL Rochense,EL Rochense,0,1637,EL Rochense,Pedro 8890,RUT:0302116500,30404537|02066300001,30404537|20825629,30404537|99999999,30404537|44399,30404537|0,30404537|0,30404537|0,30404537|0,30404537|0,30404537|0,30404537|0,30404537|0,,,,,30404537|0,18072020
37,17296CT26874812,EL Pajaro,Miguel 9090,3,0,01637,EL Pajaro,Miguel 9090,RUT: 030211650015,30404537|02066300001,30404537|20825629,30404537|99999999,30404537|44399,30404537|0,30404537|0,30404537|0,30404537|0,30404537|0,30404537|0,30404537|0,30404537|0,,,,,30404537|0,18072020
38,17296CT26874812,0,EL Maragato,EL Maragato,EL Maragato,1637,EL Maragato,Juan 88831,RUT: 030211650015,30404537|02066300001,30404537|20825629,30404537|99999999,30404537|44399,30404537|0,30404537|0,30404537|0,30404537|0,30404537|0,30404537|0,30404537|0,30404537|0,,,,,30404537|0,18072020
39,17296CT26874812,0,1637,EL Perro,EL Perro,EL Perro,EL Perro,Juan 888,RUT: 030211650015,30404537|02066300001,30404537|20825629,30404537|99999999,30404537|44399,30404537|0,30404537|0,30404537|0,30404537|0,30404537|0,30404537|0,30404537|0,30404537|0,,,,,30404537|0,08072020
40,17296CT26874812,EL Rochense,EL Rochense,EL Rochense,0,1637,EL Rochense,Pedro 8890,RUT:0302116500,30404537|02066300001,30404537|20825629,30404537|99999999,30404537|44399,30404537|0,30404537|0,30404537|0,30404537|0,30404537|0,30404537|0,30404537|0,30404537|0,,,,,30404537|0,18072020
41,17296CT26874812,EL Pajaro,Miguel 9090,3,0,01637,EL Pajaro,Miguel 9090,RUT: 030211650015,30404537|02066300001,30404537|20825629,30404537|99999999,30404537|44399,30404537|0,30404537|0,30404537|0,30404537|0,30404537|0,30404537|0,30404537|0,30404537|0,,,,,30404537|0,18072020
42,17296CT26874812,0,EL Maragato,EL Maragato,EL Maragato,1637,EL Maragato,Juan 88831,RUT: 030211650015,30404537|02066300001,30404537|20825629,30404537|99999999,30404537|44399,30404537|0,30404537|0,30404537|0,30404537|0,30404537|0,30404537|0,30404537|0,30404537|0,,,,,30404537|0,18072020
43,17296CT26874812,0,1637,EL Perro,EL Perro,EL Perro,EL Perro,Juan 888,RUT: 030211650015,30404537|02066300001,30404537|20825629,30404537|99999999,30404537|44399,30404537|0,30404537|0,30404537|0,30404537|0,30404537|0,30404537|0,30404537|0,30404537|0,,,,,30404537|0,08072020
44,17296CT26874812,EL Rochense,EL Rochense,EL Rochense,0,1637,EL Rochense,Pedro 8890,RUT:0302116500,30404537|02066300001,30404537|20825629,30404537|99999999,30404537|44399,30404537|0,30404537|0,30404537|0,30404537|0,30404537|0,30404537|0,30404537|0,30404537|0,,,,,30404537|0,18072020
45,17296CT26874812,EL Pajaro,Miguel 9090,3,0,01637,EL Pajaro,Miguel 9090,RUT: 030211650015,30404537|02066300001,30404537|20825629,30404537|99999999,30404537|44399,30404537|0,30404537|0,30404537|0,30404537|0,30404537|0,30404537|0,30404537|0,30404537|0,,,,,30404537|0,18072020
46,17296CT26874812,0,EL Maragato,EL Maragato,EL Maragato,1637,EL Maragato,Juan 88831,RUT: 030211650015,30404537|02066300001,30404537|20825629,30404537|99999999,30404537|44399,30404537|0,30404537|0,30404537|0,30404537|0,30404537|0,30404537|0,30404537|0,30404537|0,,,,,30404537|0,18072020
47,17296CT26874812,0,1637,EL Perro,EL Perro,EL Perro,EL Perro,Juan 888,RUT: 030211650015,30404537|02066300001,30404537|20825629,30404537|99999999,30404537|44399,30404537|0,30404537|0,30404537|0,30404537|0,30404537|0,30404537|0,30404537|0,30404537|0,,,,,30404537|0,08072020
48,17296CT26874812,EL Rochense,EL Rochense,EL Rochense,0,1637,EL Rochense,Pedro 8890,RUT:0302116500,30404537|02066300001,30404537|20825629,30404537|99999999,30404537|44399,30404537|0,30404537|0,30404537|0,30404537|0,30404537|0,30404537|0,30404537|0,30404537|0,,,,,30404537|0,18072020
49,17296CT26874812,EL Pajaro,Miguel 9090,3,0,01637,EL Pajaro,Miguel 9090,RUT: 030211650015,30404537|02066300001,30404537|20825629,30404537|99999999,30404537|44399,30404537|0,30404537|0,30404537|0,30404537|0,30404537|0,30404537|0,30404537|0,30404537|0,,,,,30404537|0,18072020
50,17296CT26874812,0,EL Maragato,EL Maragato,EL Maragato,1637,EL Maragato,Juan 88831,RUT: 030211650015,30404537|02066300001,30404537|20825629,30404537|99999999,30404537|44399,30404537|0,30404537|0,30404537|0,30404537|0,30404537|0,30404537|0,30404537|0,30404537|0,,,,,30404537|0,18072020
51,17296CT26874812,0,1637,EL Perro,EL Perro,EL Perro,EL Perro,Juan 888,RUT: 030211650015,30404537|02066300001,30404537|20825629,30404537|99999999,30404537|44399,30404537|0,30404537|0,30404537|0,30404537|0,30404537|0,30404537|0,30404537|0,30404537|0,,,,,30404537|0,08072020
52,17296CT26874812,EL Rochense,EL Rochense,EL Rochense,0,1637,EL Rochense,Pedro 8890,RUT:0302116500,30404537|02066300001,30404537|20825629,30404537|99999999,30404537|44399,30404537|0,30404537|0,30404537|0,30404537|0,30404537|0,30404537|0,30404537|0,30404537|0,,,,,30404537|0,18072020
53,17296CT26874812,EL Pajaro,Miguel 9090,3,0,01637,EL Pajaro,Miguel 9090,RUT: 030211650015,30404537|02066300001,30404537|20825629,30404537|99999999,30404537|44399,30404537|0,30404537|0,30404537|0,30404537|0,30404537|0,30404537|0,30404537|0,30404537|0,,,,,30404537|0,18072020
54,17296CT26874812,EL Rochense,EL Rochense,EL Rochense,0,1637,EL Rochense,Pedro 8890,RUT:0302116500,30404537|02066300001,30404537|20825629,30404537|99999999,30404537|44399,30404537|0,30404537|0,30404537|0,30404537|0,30404537|0,30404537|0,30404537|0,30404537|0,,,,,30404537|0,18072020
55,17296CT26874812,EL Pajaro,Miguel 9090,3,0,01637,EL Pajaro,Miguel 9090,RUT: 030211650015,30404537|02066300001,30404537|20825629,30404537|99999999,30404537|44399,30404537|0,30404537|0,30404537|0,30404537|0,30404537|0,30404537|0,30404537|0,30404537|0,,,,,30404537|0,18072020
56,17296CT26874812,0,EL Maragato,EL Maragato,EL Maragato,1637,EL Maragato,Juan 88831,RUT: 030211650015,30404537|02066300001,30404537|20825629,30404537|99999999,30404537|44399,30404537|0,30404537|0,30404537|0,30404537|0,30404537|0,30404537|0,30404537|0,30404537|0,,,,,30404537|0,18072020
57,17296CT26874812,0,1637,EL Perro,EL Perro,EL Perro,EL Perro,Juan 888,RUT: 030211650015,30404537|02066300001,30404537|20825629,30404537|99999999,30404537|44399,30404537|0,30404537|0,30404537|0,30404537|0,30404537|0,30404537|0,30404537|0,30404537|0,,,,,30404537|0,08072020
58,17296CT26874812,EL Rochense,EL Rochense,EL Rochense,0,1637,EL Rochense,Pedro 8890,RUT:0302116500,30404537|02066300001,30404537|20825629,30404537|99999999,30404537|44399,30404537|0,30404537|0,30404537|0,30404537|0,30404537|0,30404537|0,30404537|0,30404537|0,,,,,30404537|0,18072020
59,17296CT26874812,EL Pajaro,Miguel 9090,3,0,01637,EL Pajaro,Miguel 9090,RUT: 030211650015,30404537|02066300001,30404537|20825629,30404537|99999999,30404537|44399,30404537|0,30404537|0,30404537|0,30404537|0,30404537|0,30404537|0,30404537|0,30404537|0,,,,,30404537|0,18072020
60,17296CT26874812,0,1637,EL Perro,EL Perro,EL Perro,EL Perro,Juan 888,RUT: 030211650015,30404537|02066300001,30404537|20825629,30404537|99999999,30404537|44399,30404537|0,30404537|0,30404537|0,30404537|0,30404537|0,30404537|0,30404537|0,30404537|0,,,,,30404537|0,08072020
